ItemId;Description;Category;QtyAvailable;Price;SupplierItemId;ProductLine;Status;UPCBarcode;Primary Image;Thumbnail
9C6M4-E2-5CR;SIEMON CAT6/ UTP / 24AWG - 500M GREY;nimage;55;3955,34;9C6M4-E2-5CR;Siemon Cabling;Active;7,00416E+11;https://api.mustek.co.za/customer/PartImage.ashx?partnum=9C6M4-E2-5CR;https://api.mustek.co.za/customer/PartImage.ashx?partnum=9C6M4-E2-5CR&thumb=true
HLL8360CDW;Brother High-Speed Colour Duplex Laser Printer with wired and wireless networking capability (5YR onsite);Printers;55;6600;84E85500141;Brother;Active;4,97777E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=HLL8360CDW;https://api.mustek.co.za/customer/PartImage.ashx?partnum=HLL8360CDW&thumb=true
Logitech C920S;Logitech C920s - Webcam - USB - Black;Peripherals > Webcams;55;1511;960-001252;Logitech;Active;5,09921E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=Logitech%20C920S;https://api.mustek.co.za/customer/PartImage.ashx?partnum=Logitech%20C920S&thumb=true
SOL-BB-CS004;Bat Box Casters / 2x break 2x std;nimage;55;305;Bat Box Casters;Sustainable Energy;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=SOL-BB-CS004;https://api.mustek.co.za/customer/PartImage.ashx?partnum=SOL-BB-CS004&thumb=true
TN-265M;Brother / Magenta Toner Cartridge for HL3150CDN/ HL3170CDW/ MFC9140CDN/ MFC9330CDW;Printers > Cartridges > Toner Cartridges;55;1350;84GT420M140;Brother;Active;4,97777E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=TN-265M;https://api.mustek.co.za/customer/PartImage.ashx?partnum=TN-265M&thumb=true
B535-932a;B535-932a/CAT 7 LTE CPE Wi-Fi router/3xGE LAN port (RJ45)/1xGE LAN/WAN ports/1xRJ11/Dual Band/MTN approved.;Networking & Wifi > Routers & Mesh;54;1700;51060HPX;Huawei Device;Active;6,94149E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=B535-932a;https://api.mustek.co.za/customer/PartImage.ashx?partnum=B535-932a&thumb=true
MODERN 14 F1MG-438ZA;"MODERN 14 F1MG-438ZA / INTEL CORE 7 150U / DDR4 16GB 3200MHz (2x 8GB) / 512GB NVME PCIE SSD / INTEL IRIS GRAPHICS / 14"" FHD (1920*1080) 60Hz / WINDOWS 11 HOME/ NO BAG INCLUDED / URBAN SILVER / 1 YEAR WARRANTY";Notebooks;54;9949;Modern 14 F1MG-438ZA-USC7150U16GXXDX11SH;MSI;Active;4,71138E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=MODERN%2014%20F1MG-438ZA;https://api.mustek.co.za/customer/PartImage.ashx?partnum=MODERN%2014%20F1MG-438ZA&thumb=true
98012201;S310 24P4S L2+ (static route) 24*10/100/1000BASE-T ports 4*GE SFP ports POE+(370W);Networking & Wifi > KVM Switches;53;6531,71;;Huawei Soho;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=98012201;https://api.mustek.co.za/customer/PartImage.ashx?partnum=98012201&thumb=true
DDR5-5600-NB32G;32GB DDR5-5600MHZ (PC5-44800) 260PIN MODULE 1.1V.;nimage;53;2100;;Mecer;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=DDR5-5600-NB32G;https://api.mustek.co.za/customer/PartImage.ashx?partnum=DDR5-5600-NB32G&thumb=true
FA506NF-58512B0W;ASUS TUF GAMING A15 / 15.6-inch FHD (1920 x 1080) 16:9 / AMD Ryzen™ 5 7535HS Processor 3.3GHz (19MB Cache  up to 4.55 GHz  6 cores  12 Threads) / DDR5 8GB ( 8GB DDR5-5600 SO-DIMM) (max 32GB) / 512GB PCIe® 4.0 NVMe™ M.2 SSD / NVIDIA® GeForce RTX™ 2050 / 4GB GDDR6 / Windows 11 Home / Graphite Black / 1-YR PUR Warranty;Notebooks;53;10899;90NR0JE7-M00250;Asus Consumer;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=FA506NF-58512B0W;https://api.mustek.co.za/customer/PartImage.ashx?partnum=FA506NF-58512B0W&thumb=true
TN-348BK;Brother / High Yield Black Toner Cartridge for HL4150CDN/ HL4570CDW/ MFC9460CDN/ MFC9970CDW;Printers > Cartridges > Toner Cartridges;53;1700;84GT330K106;Brother;Active;4,97777E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=TN-348BK;https://api.mustek.co.za/customer/PartImage.ashx?partnum=TN-348BK&thumb=true
TN-348C;Brother / High Yield Cyan Toner Cartridge for HL4150CDN/ HL4570CDW/ MFC9460CDN/ MFC9970CDW;Printers > Cartridges > Toner Cartridges;53;2900;84GT330C106;Brother;Active;4,97777E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=TN-348C;https://api.mustek.co.za/customer/PartImage.ashx?partnum=TN-348C&thumb=true
DS-2CV2041G2-IDW(2.8mm);Hikvision 4MP Wireless Outdoor Audio Fixed Bullet Network Camera  BUilt-in Two Way Audio  IP66  IR up to 30m;CCTV > Bullet Cameras;52;800;311325365;Hikvision Security;Active;6,94216E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=DS-2CV2041G2-IDW(2.8mm);https://api.mustek.co.za/customer/PartImage.ashx?partnum=DS-2CV2041G2-IDW(2.8mm)&thumb=true
HL-L6210DW;Brother High-Speed Monochrome Duplex Laser Printer with wired and wireless network capability (5YR onsite);Printers;51;4700;84UL4J00141;Brother;Active;4,97777E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=HL-L6210DW;https://api.mustek.co.za/customer/PartImage.ashx?partnum=HL-L6210DW&thumb=true
LC675XLC;Brother / High Yield Cyan Cartridge for MFCJ2320 / MFCJ2720;nimage;51;260;8ZC93200174;Brother;Active;4,97777E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=LC675XLC;https://api.mustek.co.za/customer/PartImage.ashx?partnum=LC675XLC&thumb=true
21155908;HUAWEI Ideahub White Rolling Stand II (65/75/86 inches);nimage;50;5202,75;;Huawei Enterprise;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=21155908;https://api.mustek.co.za/customer/PartImage.ashx?partnum=21155908&thumb=true
DDR1600-NB8G;8GB DDR3 1600 204PIN NOTEBOOK MODULE/ Low voltage.;nimage;50;280;;Mecer;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=DDR1600-NB8G;https://api.mustek.co.za/customer/PartImage.ashx?partnum=DDR1600-NB8G&thumb=true
H810M-A;Intel H810 Chipset 15th Gen Core Ultra 7 Socket /LGA1851 Micro ATX M/B.;nimage;50;1590;;Mecer;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=H810M-A;https://api.mustek.co.za/customer/PartImage.ashx?partnum=H810M-A&thumb=true
S3407CA-U71610S0W;ASUS VIVOBOOK S / 14.0-inch WUXGA (1920 x 1200) 16:10 Anti-glare display / Intel® Core™ Ultra 7 Processor 255H 2.0 GHz (24MB Cache  up to 5.1 GHz  16 cores  16 Threads)/ Intel® AI Boost NPU up to 13TOPS / DDR5 16GB (16GB DDR5 on board +1x DDR5 SO-DIMM slot) / 1TB M.2 NVMe™ PCIe® 4.0 SSD / Backlit Chiclet Keyboard with Copilot key / Incl. Backpack / Windows 11 Home / Cool Silver / 1YR PUR Warranty;nimage;50;16999;90NB16J1-M00240;Asus Consumer;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=S3407CA-U71610S0W;https://api.mustek.co.za/customer/PartImage.ashx?partnum=S3407CA-U71610S0W&thumb=true
V15 83A1008CSA;"15.6"" INTEL i3-1315U 8GB 256GB SSD WIN11 HOME 1YR CRI LENOVO V15";nimage;50;8399;83A1008CSA;Lenovo SMB;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=V15%2083A1008CSA;https://api.mustek.co.za/customer/PartImage.ashx?partnum=V15%2083A1008CSA&thumb=true
98012180;S380 S8P2T 2*GE WAN 8*GE LAN(PoE+ 124W) up to 350 users forwarding performance 2Gbps;Networking & Wifi > KVM Switches;49;5279,12;;Huawei Soho;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=98012180;https://api.mustek.co.za/customer/PartImage.ashx?partnum=98012180&thumb=true
CAB-C19;Dedicated C19 to RED 3 pin plug power cable;nimage;49;230;CAB-C19;Mecer;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=CAB-C19;https://api.mustek.co.za/customer/PartImage.ashx?partnum=CAB-C19&thumb=true
DR-3355;Drum unit for HL5440D/ HL5450DN/ HL6180DW/ MFC8510DN/ MFC8910DW/ MFC8950DW;Printers > Cartridges > Toner Cartridges;48;2150;84XXF000140;Brother;Active;4,97777E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=DR-3355;https://api.mustek.co.za/customer/PartImage.ashx?partnum=DR-3355&thumb=true
SOL-B-9-12V;9AH 12V AGM Battery CP1290 (112-00356-01)(same as 26-000293-00G);nimage;48;285;SOL-B-9-12V;Sustainable Energy;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=SOL-B-9-12V;https://api.mustek.co.za/customer/PartImage.ashx?partnum=SOL-B-9-12V&thumb=true
SOL-BBB-1-200A-BLK;Bat Box Black - 1 x 200A - Adjustable Feet;nimage;48;995;;Sustainable Energy;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=SOL-BBB-1-200A-BLK;https://api.mustek.co.za/customer/PartImage.ashx?partnum=SOL-BBB-1-200A-BLK&thumb=true
UPS-RACKMOUNT;RACK MOUNT KIT FOR MECER RBK UPS.;nimage;48;590;31-010248-04G;Mecer Energy;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=UPS-RACKMOUNT;https://api.mustek.co.za/customer/PartImage.ashx?partnum=UPS-RACKMOUNT&thumb=true
DS-7104HGHI-M1;Hikvison 4-ch 720p Mini 1U H.265 DVR  1 SATA;nimage;47;510;;Hikvision Security;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=DS-7104HGHI-M1;https://api.mustek.co.za/customer/PartImage.ashx?partnum=DS-7104HGHI-M1&thumb=true
TN-265C;Brother / Cyan Toner Cartridge for HL3150CDN/ HL3170CDW/ MFC9140CDN/ MFC9330CDW;Printers > Cartridges > Toner Cartridges;47;1350;84GT420C140;Brother;Active;4,97777E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=TN-265C;https://api.mustek.co.za/customer/PartImage.ashx?partnum=TN-265C&thumb=true
Ideapad Flex5 83KX004MSA;Lenovo Flex5 14IRH9 2in1 / 14'' WUXGA OLED / Touch / Grey / i7-13620H / 16GB LPDDR5-5200 Not Upgradable / 512GB SSD M.2 2242 PCIe 4.0x4 NVMe / Lenovo Digital Pen2 / Win11 Home / 1YRCI;Notebooks;46;15999;83KX004MSA;Lenovo Consumer;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=Ideapad%20Flex5%2083KX004MSA;https://api.mustek.co.za/customer/PartImage.ashx?partnum=Ideapad%20Flex5%2083KX004MSA&thumb=true
LC565XLC;Brother / High Yield Cyan Cartridge for MFCJ3520/ MFCJ3720;Printers > Cartridges > Ink Cartridges;46;260;8ZC83200140;Brother;Active;4,97777E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=LC565XLC;https://api.mustek.co.za/customer/PartImage.ashx?partnum=LC565XLC&thumb=true
SM-A057BLK;SAMSUNG GALAXY A05s DS LTE BLACK -128gb;N/A Cell Phone;46;2180;SM-A057FZKGAFA;Samsung IM;Active;8,8061E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=SM-A057BLK;https://api.mustek.co.za/customer/PartImage.ashx?partnum=SM-A057BLK&thumb=true
V15 83A1002CSA;"15.6"" INTEL i3-1315U 8GB 256GB SSD WIN11 PRO 1YR CRI LENOVO V15";nimage;46;10450;83A1002CSA;Lenovo SMB;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=V15%2083A1002CSA;https://api.mustek.co.za/customer/PartImage.ashx?partnum=V15%2083A1002CSA&thumb=true
SOL-P-C-330;330w Solar PV Module;nimage;45;1550;SP330W;Sustainable Energy;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=SOL-P-C-330;https://api.mustek.co.za/customer/PartImage.ashx?partnum=SOL-P-C-330&thumb=true
T03V14A;Epson 101 Ink Bottles Black 127ml Ecotank L4150 / L4156 / L4160 / L4260 / L6160 / L6170 / L6176 / L6190 / L6270 / L6290 / L6370 / L14150 7500 pages;Printers > Cartridges > Ink Cartridges;45;247;C13T03V14A;Epson;Active;8,71595E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=T03V14A;https://api.mustek.co.za/customer/PartImage.ashx?partnum=T03V14A&thumb=true
MSI NEST DOCKING STATION;MSI NEST DOCKING STATION WITH USB-C CABLE;nimage;44;1199;S53-0400230-V33;MSI;Active;4,71138E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=MSI%20NEST%20DOCKING%20STATION;https://api.mustek.co.za/customer/PartImage.ashx?partnum=MSI%20NEST%20DOCKING%20STATION&thumb=true
SM-X716;SAMSUNG GALAXY TAB S9 / 11'' 5G 12GB RAM+256GB INT MEMORY;Mobile > Tablets;44;16369;SM-X716BZAEAFA;Samsung IM;Active;8,8061E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=SM-X716;https://api.mustek.co.za/customer/PartImage.ashx?partnum=SM-X716&thumb=true
Huawei AX2;Huawei Fibre router Dual Core/Dual Band  Huawei AX1500 Router @5GHz  Wi-Fi 6 HarmonyOS Mesh+ Parental Controls. 3 WAN/LAN Ports/ When one of Gigabit Ethernet ports is used for WAN  the others only can be used for LAN.Up to 64 WiFi users.;Networking & Wifi > Routers & Mesh;43;600;;Huawei Device;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=Huawei%20AX2;https://api.mustek.co.za/customer/PartImage.ashx?partnum=Huawei%20AX2&thumb=true
MODERN 15 H AI C2HMG-252ZA;"MODERN 15 H AI C2HMG-252ZA / INTEL CORE ULTRA 7 255H / DDR5 16GB 3200MHz (2x 8GB) / 512GB NVME PCIE SSD / INTEL ARC GRAPHICS / 15.6"" FHD (1920*1080) 60Hz / WINDOWS 11 HOME/ NO BAG INCLUDED / CLASSIC BLACK / 1 YEAR WARRANTY";Notebooks;43;12399;Modern 15 H AI C2HMG-252ZA-CBU7255H16GXXDX11SH;MSI;Active;4,71138E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=MODERN%2015%20H%20AI%20C2HMG-252ZA;https://api.mustek.co.za/customer/PartImage.ashx?partnum=MODERN%2015%20H%20AI%20C2HMG-252ZA&thumb=true
NX.EGYEA.00Y;"Acer Extensa EX215-55-39RX 15.6"" HD Intel Core i3-1215U 8 GB DDR4 Memory 512GB PCIe NVMe SSD UMA WIFI6+BT HD TNR Camera No External Video Memory 50Wh Li-ion battery 45W Callisto HDD upgrade kit / N / N / Windows 11 Pro 1 Year Warranty Steel Gray";Notebooks;43;8499;NX.EGYEA.00Y;Acer;Active;4,71147E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=NX.EGYEA.00Y;https://api.mustek.co.za/customer/PartImage.ashx?partnum=NX.EGYEA.00Y&thumb=true
P500MV-I78512B0X;ASUS EXPERTCENTER P500 / MINI TOWER 15L / Intel® Core™ i7-13620H Processor 2.4 GHz (24MB Cache  up to 4.9 GHz  10 cores  16 Threads) / CPU Cooler - Air Cooler / 8GB DDR5 SO-DIMM (Memory speed is 5600MHz  but run at 4800 5200MHz) / 512GB M.2 2280 NVMe™ PCIe® 4.0 SSD / No ODD / Power Supply - 180W power supply (80+ Bronze  peak 228W) / Incl. Wired Keyboard + Mouse (USB) / Gray / Windows 11 Pro / 3Y OnSite Service(Next Business Day);Desktop Computers > Office Desktops;43;11539;90PF05I1-M004H0;Asus Commercial;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=P500MV-I78512B0X;https://api.mustek.co.za/customer/PartImage.ashx?partnum=P500MV-I78512B0X&thumb=true
RAPOO M160;M160 - Silent  multi-mode wireless mouse;nimage;43;190;;RAPOO;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=RAPOO%20M160;https://api.mustek.co.za/customer/PartImage.ashx?partnum=RAPOO%20M160&thumb=true
DCP-L5510DW;Brother Mid-Range Mono Laser 3-IN-1 and Duplex printing/ wired and wireless networking capabilities (5YR onsite);Printers;42;6500;8C5L4R00341;Brother;Active;4,97777E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=DCP-L5510DW;https://api.mustek.co.za/customer/PartImage.ashx?partnum=DCP-L5510DW&thumb=true
MODERN 14 F13MG-039ZA;"MODERN 14 F13MG-039ZA / INTEL I3-1315U / DDR 4 8GB 3200MHz / 256GB NVME PCIE SSD / INTEL UHD GRAPHICS / 14"" FHD (1920*1080) 60Hz / WINDOWS 11 HOME/ NO BAG INCLUDED / PLATINUM GREY / 1 YEAR WARRANTY";Notebooks;42;5799;MODERN 14 F13MG-039ZA-PG31315U8GXXDX11S;MSI;Active;4,71138E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=MODERN%2014%20F13MG-039ZA;https://api.mustek.co.za/customer/PartImage.ashx?partnum=MODERN%2014%20F13MG-039ZA&thumb=true
TN-871XXLBK;High Yield Black Toner Cartridge for HL-L9430CDN/ MFC-L9630CDN;nimage;42;2500;84GT630K141;Brother;Active;4,97777E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=TN-871XXLBK;https://api.mustek.co.za/customer/PartImage.ashx?partnum=TN-871XXLBK&thumb=true
SM-A366;"Samsung Galaxy A36 5G 6+128GB INT MEMORY 6.7"" DS";N/A Cell Phone;41;5565;SM-A366BZKMAFA;Samsung IM;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=SM-A366;https://api.mustek.co.za/customer/PartImage.ashx?partnum=SM-A366&thumb=true
K3U-U3;MECER 3.5INCH USB 3.0 SATA HDD EXTERNAL CHASSIS;nimage;40;340;K3U-U3;Mecer;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=K3U-U3;https://api.mustek.co.za/customer/PartImage.ashx?partnum=K3U-U3&thumb=true
P3405CVA-I716512G0X;ASUS EXPERTBOOK P3 / 14.0-inch WUXGA (1920 x 1200) 16:10 / Intel® Core™ i7-13620H Processor 2.4 GHz (24MB Cache  up to 4.9 GHz  10 cores  16 Threads) / DDR5 16GB ( 16GB DDR5 SO-DIMM + 1x DDR5 SO-DIMM slots) / 512GB M.2 2280 NVMe™ PCIe® 4.0 SSD + 1x M.2 2230 PCIe 4.0x4 / Intel® UHD Graphics / Camera: 1080p FHD camera with IR function to support Windows Hello with privacy shutter / Backlit Chiclet Keyboard / AI ExpertMeet (AI features need devices with 12GB RAM or more) / Misty Grey / Windows 11 Pro / 1Y OnSite Service(Next Business Day);nimage;40;16199;90NX08E1-M00800;Asus Commercial;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=P3405CVA-I716512G0X;https://api.mustek.co.za/customer/PartImage.ashx?partnum=P3405CVA-I716512G0X&thumb=true
T03V24A;Epson 101 Ink Bottles Cyan 70ml Ecotank L4150 / L4156 / L4160 / L4260 / L6160 / L6170 / L6176 / L6190 / L6270 / L6290 / L6370 / L14150 6000 pages;nimage;40;123;C13T03V24A;Epson;Active;8,71595E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=T03V24A;https://api.mustek.co.za/customer/PartImage.ashx?partnum=T03V24A&thumb=true
DDR4-3200-32G;32GB DDR4-3200MHZ 288PIN MODULE 1.2V;nimage;39;1590;;Mecer;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=DDR4-3200-32G;https://api.mustek.co.za/customer/PartImage.ashx?partnum=DDR4-3200-32G&thumb=true
LC77XLBK;Brother / High Yield Black Cartridge for MFCJ6510DW;nimage;39;550;8ZC73100140;Brother;Active;4,97777E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=LC77XLBK;https://api.mustek.co.za/customer/PartImage.ashx?partnum=LC77XLBK&thumb=true
T06C24A;Epson 112 Ink Bottles Cyan 70ml L6580 / L15150 / L15160 6000 pages;nimage;39;267;C13T06C24A;Epson;Active;8,71595E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=T06C24A;https://api.mustek.co.za/customer/PartImage.ashx?partnum=T06C24A&thumb=true
THIN 15 B13UC-3069ZA;"THIN 15 B13UC-3069ZA / INTEL I5-13420H / DDR4 8GB 3200MHz (1x 8GB) / 512GB NVME PCIE SSD / RTX 3050 GDDR6 4GB / 15.6"" FHD (1920x1080) 144Hz / WINDOWS 11 HOME  / NO BAG INCLUDED / COSMOS GREY / 2 YEAR WARRANTY";nimage;39;12399;Thin 15 B13UC-3069ZA-GG51342H8GXXDX11S;MSI;Active;4,71138E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=THIN%2015%20B13UC-3069ZA;https://api.mustek.co.za/customer/PartImage.ashx?partnum=THIN%2015%20B13UC-3069ZA&thumb=true
DDR4-3200-16G;16GB DDR4-3200MHZ 288PIN MODULE 1.2V;nimage;38;830;;Mecer;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=DDR4-3200-16G;https://api.mustek.co.za/customer/PartImage.ashx?partnum=DDR4-3200-16G&thumb=true
MFC-T930DW;Brother Colour Ink Tank A4 4-IN-1 Print Copy Scan Fax/ USB/ Wired Wireless/ WiFi Direct/ Duplex Print only (5 YR / 50 000 Page Carry In Warranty);Printer;38;5300;8CHA7100124;Brother;Active;4,97777E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=MFC-T930DW;https://api.mustek.co.za/customer/PartImage.ashx?partnum=MFC-T930DW&thumb=true
DDR4-3200-NB32G;32GB DDR4-3200MHZ 260PIN MODULE 1.2V;nimage;37;1590;;Mecer;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=DDR4-3200-NB32G;https://api.mustek.co.za/customer/PartImage.ashx?partnum=DDR4-3200-NB32G&thumb=true
LX-350;Epson 80Column 9Pin DotMatrix USB Bidirectional Parallel Non-Ethernet RS-232 Prints 4 + 1 Original;nimage;37;2939;C11CC24031;Epson;Active;8,71595E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=LX-350;https://api.mustek.co.za/customer/PartImage.ashx?partnum=LX-350&thumb=true
ME-3000-VU+;MECER 3000VA LINE INTERACTIVE UPS (CAB-C19 included) - Battery Warranty 6 Months;nimage;37;3380;876-084008-00G;Mecer Energy;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=ME-3000-VU%2b;https://api.mustek.co.za/customer/PartImage.ashx?partnum=ME-3000-VU%2b&thumb=true
MZ-77E1T0BW;Samsung 870 EVO 1TB SATAIIII SSD/ Read Speed up to 560 MB/s/ Write Speed up to 530 MB/s/Random Read Max 98000 IOPS/MKX Controlle;Storage Media > Solid State Drives;37;1899;MZ-77E1T0BW;Samsung Components;Active;8,80609E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=MZ-77E1T0BW;https://api.mustek.co.za/customer/PartImage.ashx?partnum=MZ-77E1T0BW&thumb=true
T06C44A;Epson 112 Ink Bottles Yellow 70ml L6580 / L15150 / L15160 6000 pages;nimage;37;267;C13T06C44A;Epson;Active;8,71595E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=T06C44A;https://api.mustek.co.za/customer/PartImage.ashx?partnum=T06C44A&thumb=true
ME-3000-PEB;MECER PEB 3KVA MOBILE ENERGY BANK WITH 2.5Kwh LiPO LITHIUM battery ;Power Solutions > Power Banks;36;22800;;Mecer;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=ME-3000-PEB;https://api.mustek.co.za/customer/PartImage.ashx?partnum=ME-3000-PEB&thumb=true
SimPro Dock2;Asus SimPro Dock2 Docking Station - 180W with up to 120W power delivery to Asus laptop - 96W to non-Asus systems/ Supports up to 4 displays/ Card slot - Smart card reader/ 60CM Thunderbolt Cable/ 2x Display port 1.4/ 1x HDMI 2.0/ RJ45 Giga Lan/ Kengsington Lock slot;Connectors Adaptors & Converters;36;2299;;Asus Commercial;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=SimPro%20Dock2;https://api.mustek.co.za/customer/PartImage.ashx?partnum=SimPro%20Dock2&thumb=true
IVR-2400MPPT;MECER 2400VA 1800W 24V W/MPPT INVERTER;nimage;35;2450;35-08001Y-01G;Mecer Energy;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=IVR-2400MPPT;https://api.mustek.co.za/customer/PartImage.ashx?partnum=IVR-2400MPPT&thumb=true
S015610BA;Epson Black Ribbon LQ-690 10 Million Characters;Printers > Cartridges > Ribbon;35;169;C13S015610;Epson;Active;8,71595E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=S015610BA;https://api.mustek.co.za/customer/PartImage.ashx?partnum=S015610BA&thumb=true
SOL-I-CN-15L;1/5kW Portable Lithium unit 26V 100Ah with 840W MPPT;nimage;35;15400;;Sustainable Energy;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=SOL-I-CN-15L;https://api.mustek.co.za/customer/PartImage.ashx?partnum=SOL-I-CN-15L&thumb=true
THINKBOOK 21SK001AZA;"LENOVO TB 16.0"" INTEL U7-255H 16GB 512GB SSD WIN11 PRO 3YR CRI";nimage;35;16755;21SK001AZA;Lenovo SMB;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=THINKBOOK%2021SK001AZA;https://api.mustek.co.za/customer/PartImage.ashx?partnum=THINKBOOK%2021SK001AZA&thumb=true
2170477;Ideashare Key;nimage;34;2259,46;;Huawei Enterprise;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=02170477;https://api.mustek.co.za/customer/PartImage.ashx?partnum=02170477&thumb=true
86S1U;MECER 86'' 4K UHD (3840 x 2160) SMART LED PANEL;nimage;34;16800;;Mecer;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=86S1U;https://api.mustek.co.za/customer/PartImage.ashx?partnum=86S1U&thumb=true
Huawei Nova Y72s Blue;Dual SIM/ HMS/ 6.75 HD+/8GB+128GB/ 8MP Front Camera/50+2MP Rear Camera / 6000mAh / EMUI 14.2;N/A Cell Phone;34;3400;51098CTH;Huawei Device;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=Huawei%20Nova%20Y72s%20Blue;https://api.mustek.co.za/customer/PartImage.ashx?partnum=Huawei%20Nova%20Y72s%20Blue&thumb=true
MFC-L6910DN;Brother High Speed Mono Laser MFC with Duplex printing and wired networking capability (5YR onsite);Printers;34;11600;8C5L8800241;Brother;Active;4,97777E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=MFC-L6910DN;https://api.mustek.co.za/customer/PartImage.ashx?partnum=MFC-L6910DN&thumb=true
SM-X710;SAMSUNG GALAXY TAB S9 / 11'' Wi-Fi 8GB RAM+128GB INT MEMORY WI-FI;Mobile > Tablets;34;14885;SM-X710NZAAAFA;Samsung IM;Active;8,8061E+12;https://api.mustek.co.za/customer/PartImage.ashx?partnum=SM-X710;https://api.mustek.co.za/customer/PartImage.ashx?partnum=SM-X710&thumb=true
50087399-001;AP371 Wi-Fi 7 11be indoor 2+2 dual bands smart antenna USB BLE;Networking & Wifi > Antennas;33;1533,33;;Huawei Soho;Active;;https://api.mustek.co.za/customer/PartImage.ashx?partnum=50087399-001;https://api.mustek.co.za/customer/PartImage.ashx?partnum=50087399-001&thumb=true
