name;sku;categories;description;images;brand;originalCategory
"LB200 BACKPACK OXFORD 15"" USB GREY";AST-A21120-T;Computers Laptops & Electronics > Bags Cases & Covers  > Bags;"This laptop backpack is expertly designed to accommodate laptops up to 15 inches, blending functionality, durability, and style seamlessly. Crafted from rigid Oxford material, the backpack ensures long-lasting use and provides a sleek, professional appearance suitable for a variety of settings.

One of the key features of this backpack is the built-in USB charging port, which offers a convenient way to charge your devices on the go. By connecting your power bank to the internal cable and plugging your device into the external port, you can keep your gadgets powered up without having to open your backpack, making it perfect for busy professionals and students who are always on the move.

The backpack boasts a multi-pocket and multi-compartment design, allowing for efficient organization of all your essentials. It includes dedicated sections for your laptop, charger, documents, and other personal items, ensuring everything has its place and is easily accessible. The spacious main compartment and additional pockets provide ample storage, helping you stay organized whether you're heading to the office, attending classes, or traveling.

Constructed from high-quality, rigid Oxford material, this backpack is not only durable but also offers excellent protection for your belongings. The sturdy fabric resists wear and tear, ensuring your backpack remains in top condition even with regular use.

Comfort is also a top priority with this backpack. It features ergonomically designed padded shoulder straps and a breathable back panel, providing maximum comfort during extended use. The adjustable straps allow for a customizable fit, reducing strain on your shoulders and back, making it ideal for daily commutes or long journeys.

In summary, this laptop backpack is a perfect blend of durability, functionality, and style. With its USB charging port, multi-pocket and compartment design, and robust Oxford material construction, it provides a practical and reliable solution for carrying your laptop and essentials with ease and confidence. Whether you are a student, a professional, or a traveler, this backpack is designed to meet your needs and enhance your daily routine.

Features:
Laptop backpack with the USB charging port
Supports up to 15inches  laptops
Made from Oxford rigid material
Multiple pockets and compartments
Soft padding for protection of your device

Technical Specifications:
Material: Oxford
Size: Up to 15inches 
Dimensions: 520440700mm (L x W x H)
Weight: 200g (approx.)";https://astrum.co.za/wp-content/uploads/2023/12/1706700047LB200Grey2.webp;Astrum;Laptop Bags
"LB210 15"" PU + Nylon Laptop Backpack with USB - Black";AST-A21121-B;Computers Laptops & Electronics > Bags Cases & Covers  > Bags;"A sturdy and versatile travel companion Astrum LB210 PU Laptop Backpack is designed to protect and hold up to up to 15-inch laptops and other important accessories and gadgets. With a large capacity, multi-compartments, and pockets for notebooks, cameras, tablets, mobiles, wallets, memos, power banks, and much more.

Features an external USB port outside the bag and a built-in charging cable inside, offering you more faster and convenient access to charge your devices while on the go, traveling, cycling, walking, or mountain biking, keep your device powered up while focusing on your activity.

Experience superior comfort with the multi-panel airflow foam padded pores for all-day support and comfort to the back, along with the comfortable shoulder strap for a stress-free shoulder during long hours of travel.

Never worry about your laptop or devices being damaged by water or rain during wet seasons as this best travel backpack is built from Eco-friendly water-repellent Nylon and PU stylish material keeping your accessories safe and protected during outdoor activities.

Features:
Laptop backpack with the USB charging port
Supports up to 15"" laptops
Made from Nylon + PU stylish material
Multiple pockets and compartments
Soft padding for the protection of your device

Technical Specifications:
Material: Nylon + PU
Size: Up to 15""
Dimensions: 320460700mm (L x W x H)
Weight: 150g (approx.";https://astrum.co.za/wp-content/uploads/2022/01/LB210-1.webp;Astrum;Laptop Bags
"LB210 15"" PU + Nylon Laptop Backpack with USB - Grey";AST-A21121-T;Computers Laptops & Electronics > Bags Cases & Covers  > Bags;"A sturdy and versatile travel companion Astrum LB210 PU Laptop Backpack is designed to protect and hold up to up to 15-inch laptops and other important accessories and gadgets. With a large capacity, multi-compartments, and pockets for notebooks, cameras, tablets, mobiles, wallets, memos, power banks, and much more.

Features an external USB port outside the bag and a built-in charging cable inside, offering you more faster and convenient access to charge your devices while on the go, traveling, cycling, walking, or mountain biking, keep your device powered up while focusing on your activity.

Experience superior comfort with the multi-panel airflow foam padded pores for all-day support and comfort to the back, along with the comfortable shoulder strap for a stress-free shoulder during long hours of travel.

Never worry about your laptop or devices being damaged by water or rain during wet seasons as this best travel backpack is built from Eco-friendly water-repellent Nylon and PU stylish material keeping your accessories safe and protected during outdoor activities.

Features:
Laptop backpack with a USB charging port
Supports up to 15"" laptops
Made from Nylon + PU stylish material
Multiple pockets and compartments
Soft padding for the protection of your device

Technical Specifications:
Material: Nylon + PU
Size: Up to 15""
Dimensions: 320460700mm (L x W x H)
Weight: 150g (approx.";https://astrum.co.za/wp-content/uploads/2022/01/LB210-Grey-1.jpg;Astrum;Laptop Bags
"LB220 BACKPACK OXFORD 300D 15"" BLACK/BLA";AST-A21122-B;Computers Laptops & Electronics > Bags Cases & Covers  > Bags;"This laptop backpack is meticulously designed to accommodate laptops up to 15 inches, making it an ideal choice for students, professionals, and travelers. Crafted with high-quality materials, the backpack ensures durability and a stylish appearance suitable for any environment.

One of the standout features of this backpack is the built-in USB charging port. This innovative feature allows you to charge your devices on the go, ensuring you stay connected and powered up throughout your day. Simply connect your power bank to the internal cable and plug your device into the external port for convenient charging without opening your backpack.

Security is a top priority with this backpack, which comes equipped with a security lock. This feature provides peace of mind by keeping your laptop and other valuables safe from theft, making it an excellent choice for commuting in crowded areas or traveling.

The backpack's multi-compartment design ensures optimal organization. It includes specific sections for your laptop, charger, documents, and personal items, allowing you to keep everything in order and easily accessible. The spacious main compartment and additional pockets offer ample storage for all your essentials, ensuring you can carry everything you need comfortably.

Ergonomically designed, the backpack features padded shoulder straps and a breathable back panel, providing maximum comfort during prolonged use. The adjustable straps ensure a perfect fit, reducing strain on your shoulders and back.

Overall, this laptop backpack combines functionality, security, and style. With its USB charging port, security lock, and multi-compartment design, it is the perfect companion for anyone looking to carry their laptop and essentials with ease and confidence, whether for daily commutes, business trips, or casual outings.

Features:
- Laptop backpack with USB charging port
- Comes with a combination security lock for the zipper
- Supports up to 15inches  laptops
- Made from Oxford rigid material
- Metal carry handle for easy portability
- Multiple pockets and compartments
- Soft padding for protection of your device

Technical Specifications:
- Material: Oxford
- Size: Up to 15inches 
- Dimensions: 275 x 100 x 380mm (L x W x H)
- Weight: 430g (approx.)

What's in the box
1 x 15inches  Oxford Laptop Backpack";https://astrum.co.za/wp-content/uploads/2023/11/1705473661LB220Black02.jpg;Astrum;Laptop Bags
"LB220 BACKPACK OXFORD 300D 15"" BLUE/BLAC";AST-A21122-C;Computers Laptops & Electronics > Bags Cases & Covers  > Bags;"This laptop backpack is meticulously designed to accommodate laptops up to 15 inches, making it an ideal choice for students, professionals, and travelers. Crafted with high-quality materials, the backpack ensures durability and a stylish appearance suitable for any environment.

One of the standout features of this backpack is the built-in USB charging port. This innovative feature allows you to charge your devices on the go, ensuring you stay connected and powered up throughout your day. Simply connect your power bank to the internal cable and plug your device into the external port for convenient charging without opening your backpack.

Security is a top priority with this backpack, which comes equipped with a security lock. This feature provides peace of mind by keeping your laptop and other valuables safe from theft, making it an excellent choice for commuting in crowded areas or traveling.

The backpack's multi-compartment design ensures optimal organization. It includes specific sections for your laptop, charger, documents, and personal items, allowing you to keep everything in order and easily accessible. The spacious main compartment and additional pockets offer ample storage for all your essentials, ensuring you can carry everything you need comfortably.

Ergonomically designed, the backpack features padded shoulder straps and a breathable back panel, providing maximum comfort during prolonged use. The adjustable straps ensure a perfect fit, reducing strain on your shoulders and back.

Overall, this laptop backpack combines functionality, security, and style. With its USB charging port, security lock, and multi-compartment design, it is the perfect companion for anyone looking to carry their laptop and essentials with ease and confidence, whether for daily commutes, business trips, or casual outings.

Features:
- Laptop backpack with USB charging port
- Comes with a combination security lock for the zipper
- Supports up to 15inches  laptops
- Made from Oxford rigid material
- Metal carry handle for easy portability
- Multiple pockets and compartments
- Soft padding for protection of your device

Technical Specifications:
- Material: Oxford
- Size: Up to 15inches 
- Dimensions: 275 x 100 x 380mm (L x W x H)
- Weight: 430g (approx.)

What's in the box
1 x 15inches  Oxford Laptop Backpack";https://astrum.co.za/wp-content/uploads/2023/11/1705473583LB220blue02.jpg;Astrum;Laptop Bags
"LB220 BACKPACK OXFORD 300D 15"" RED/BLACK";AST-A21122-N;Computers Laptops & Electronics > Bags Cases & Covers  > Bags;"This laptop backpack is meticulously designed to accommodate laptops up to 15 inches, making it an ideal choice for students, professionals, and travelers. Crafted with high-quality materials, the backpack ensures durability and a stylish appearance suitable for any environment.

One of the standout features of this backpack is the built-in USB charging port. This innovative feature allows you to charge your devices on the go, ensuring you stay connected and powered up throughout your day. Simply connect your power bank to the internal cable and plug your device into the external port for convenient charging without opening your backpack.

Security is a top priority with this backpack, which comes equipped with a security lock. This feature provides peace of mind by keeping your laptop and other valuables safe from theft, making it an excellent choice for commuting in crowded areas or traveling.

The backpack's multi-compartment design ensures optimal organization. It includes specific sections for your laptop, charger, documents, and personal items, allowing you to keep everything in order and easily accessible. The spacious main compartment and additional pockets offer ample storage for all your essentials, ensuring you can carry everything you need comfortably.

Ergonomically designed, the backpack features padded shoulder straps and a breathable back panel, providing maximum comfort during prolonged use. The adjustable straps ensure a perfect fit, reducing strain on your shoulders and back.

Overall, this laptop backpack combines functionality, security, and style. With its USB charging port, security lock, and multi-compartment design, it is the perfect companion for anyone looking to carry their laptop and essentials with ease and confidence, whether for daily commutes, business trips, or casual outings.

Features:
- Laptop backpack with USB charging port
- Comes with a combination security lock for the zipper
- Supports up to 15"" laptops
- Made from Oxford rigid material
- Metal carry handle for easy portability
- Multiple pockets and compartments
- Soft padding for protection of your device

Technical Specifications:
- Material: Oxford
- Size: Up to 15""
- Dimensions: 275 x 100 x 380mm (L x W x H)
- Weight: 430g (approx.)

What's in the box
1 x 15"" Oxford Laptop Backpack";https://astrum.co.za/wp-content/uploads/2023/11/1705473533LB220red01.jpg;Astrum;Laptop Bags
LB310 BACKPACK PU TRAVEL EXPEND BLACK;AST-A21131-B;Computers Laptops & Electronics > Bags Cases & Covers  > Bags;"A sophisticated and versatile travel companion Astrum LB310 PU Travel Backpack is designed to cater to the needs of travelers and adventure enthusiasts alike, a product of exquisite craftsmanship it is made to ensure the safety of laptops and other important accessories and gadgets. Boasting a spacious, expandable capacity and multiple compartments and pockets, it accommodates notebooks, cameras, tablets, passports, mobile phones, wallets, memos, power banks, and much more.

&nbsp;

This premium Travel Backpack features an external USB port on the exterior of the bag, accompanied by a built-in charging cable within. This setup ensures swifter and more convenient access to charging your devices while on the move, whether you're traveling, cycling, walking, or mountain biking. Keep your devices powered up effortlessly, keeping you focused on your activities without interruption.

&nbsp;

Experience superior comfort with the multi-panel airflow foam padded pores for all-day support and comfort to the back, along with the comfortable shoulder strap for a stress-free shoulder during long hours of travel. Additionally, top and side carry handles are seamlessly integrated for effortless portability, making it an ideal hand luggage companion.

&nbsp;

Rest assured, your laptop and devices remain safeguarded from water damage, even during wet seasons, thanks to this top-tier travel backpack crafted from eco-friendly, water-repellent PU and Nylon material. Its stylish design ensures protection for your accessories and offers peace of mind during your travels and outdoor pursuits.

&nbsp;

Features:

- Hand luggage backpack with USB charging port

- Large expandable multi-compartments and pockets

- Can fit all types of devices and accessories

- Made from PU waterproof fabric

- Side carry handle for easy portability as hand luggage

- Multiple pockets and compartments for storage

- Soft padding for protection of your important devices

&nbsp;

Technical Specifications:

- Material: PU (Water Resistant)

- Size: Large Expandable

- Dimensions: 120 x 360 x 430mm (L x W x H)

- Weight: 900g (approx.)

What's in the box
1 x PU Expandable Travel Backpack";https://astrum.co.za/wp-content/uploads/2023/11/LB310-Black-5-2-scaled.jpg;Astrum;Laptop Bags
CS110 3 in 1 Screen Cleaning Kit;AST-A72511-B;Computers Laptops & Electronics > Peripherals > Cleaning Solutions;"Keep your valuable electronics and accessories sparkling clean with the Efficient Cleaning Kit, a must-have for maintaining optimal performance and appearance. This comprehensive kit is designed to safely and effectively remove dust, dirt, fingerprints, and smudges from a variety of devices including laptops, cameras, smartphones, peripherals, and more.

The kit features a soft-bristled brush designed to gently sweep away dust and debris from keyboards, ports, camera lenses, and other hard-to-reach areas without scratching or damaging sensitive surfaces. Its ergonomic design ensures precise cleaning without leaving behind residue.

Accompanying the brush is a high-quality microfiber cloth, engineered to provide a lint-free cleaning experience. The ultra-fine fibers effortlessly lift oils, fingerprints, and smudges from screens, touchscreens, and glossy surfaces, leaving them streak-free and polished.

The Efficient Cleaning Kit offers a simple yet effective solution for maintaining the cleanliness and functionality of your electronic devices and accessories. Whether you're at home, in the office, or on the go, this kit ensures your devices remain in pristine condition, ready for optimal performance whenever you need them. Keep your gadgets looking like new with the Efficient Cleaning Kit, your go-to companion for electronic hygiene.

Features:
Liquid Gel solution gives no damage to devices
Antistatic cleaning brush removes dust from gaps & corners
Soft microfiber cloth for scratchless cleaning
100% natural coconut diethanolamine, alcohol and acetone-free
Cleans Screens, Camera Lens, PDAs, Electronics e.t.c

 Technical Specifications:
Material: Micro Fibre Brush and Cloth
Gel Solution: Natural Coconut Diethanolamide
Use for : Laptop Screen, LED Screen, Camera, Tablets, Mobile, e.t.c";https://astrum.co.za/wp-content/uploads/2021/11/CS110-01-4.jpg;Astrum;Cleaning Solutions
CS140 3 in 1 Multi Cleaning Kit;AST-A72514-B;Computers Laptops & Electronics > Peripherals > Cleaning Solutions;"Astrum CS140 3 in 1 Cleaning Kit with Multipurpose Cleaning Spray, Microfiber Cloth, and Soft Brush designed to clean external areas on electronic devices and won't cause damages, scratches to screens or surfaces

Reusable, Ultra-soft microfiber cloth, Cleans without any Scratches or Damage. Spray the non-aerosol cleaner and wipe up the devices for bright clarity of screen and fragrance. 

Used for Computer Screen, TV Screen, Mobile Screen, Digital Camera Lens, and Other Sensitive Electronic Gadgets to remove bacteria, fingerprints, and oil residues on the screen.

 Features:
 
- Efficient screen cleaning kit
- Restore and maintain the brightness clarity  of your screen
- Easy to use non-aerosol cleaner with pleasant fragrance
- Wipe off bacteria, finger prints and oil residues on your screen
- Soft, skin-friendly lint-free microfiber cloth

 Technical Specifications:

Dimensions:
-  Cleaning Solution: 150 x 38 x 38mm (L x W x H)
-  Microfiber Cloth: 200 x 200 x 1mm (L x W x H)
-  Anti-static cleaning brush: 120 x 30 x 13mm (L x W x H)
-  Weight: 135g (approx.)";https://astrum.co.za/wp-content/uploads/2021/11/CS140_01.jpg;Astrum;Cleaning Solutions
CS150 3 in 1 Display Cleaner Spray;AST-A72515-B;Computers Laptops & Electronics > Peripherals > Cleaning Solutions;"Astrum CS150 3-in-1 cleaning kit, the 3-piece cleaning contains the essential items necessary for the proper maintenance and care of your equipment. It easily cleans dirt and dust. Effectively removes smudges and fingerprints from lenses, LCD, and other optics. 

Top Quality 2 in 1 screen wiper supplied with high-quality spray to clean your LCD or LED properly and the transparent cover protects the microfiber cleaning cloth from dust and dirt. 

Carry it with you anywhere, anytime due to its portable and pocket-sized design, and clean any screen with ease. Streak-free screen cleaner - designed to remove grease, smudges, and fingerprints without harming your screen coating or device. 

It comes with 100ml refill liquid along with a washable wipe cover and protection case, making it convenient to refill and use anytime.

 Features:
 
- 2 in 1 screen wiper with spray
- Pocket sized and portable you can carry it anywhere with you
- With transparent cover which protects the microfiber cleaning cloth
- Easy to use just spray and wipe
- Wipe off bacteria, finger prints and oil residues on your screen
- Comes with re-filling cleaning liquid spray


 Technical Specifications:

Dimensions:
-  Cleaning Solution: 150 x 38 x 38mm (L x W x H)
-  Cleaning Spray : 92 x 25 x 25mm (L x W x H)
-  Weight: 135g (approx.)";https://astrum.co.za/wp-content/uploads/2021/11/CS150.jpg;Astrum;Cleaning Solutions
"NB200 NOTEBOOK STICKER 15.6"" 3D SMILY";AST-A71017-T S1;Computers Laptops & Electronics > Notebook Components > Accessories;"NB200 NOTEBOOK STICKER 15.6"" 3D SMILY";https://astrum.co.za/wp-content/uploads/2022/02/NB200-3D-SMILY-S1-new-20.jpg;Astrum;Notebook PC
"NB200 NOTEBOOK STICKER 15.6"" 3D SMILY";AST-A71017-T S4;Computers Laptops & Electronics > Notebook Components > Accessories;"NB200 NOTEBOOK STICKER 15.6"" 3D SMILY";https://astrum.co.za/wp-content/uploads/2022/02/NB200-3D-SMILY-S4-18.jpg;Astrum;Notebook PC
"NB200 NOTEBOOK STICKER 15.6"" 3D SMILY";AST-A71017-T S5;Computers Laptops & Electronics > Notebook Components > Accessories;"NB200 NOTEBOOK STICKER 15.6"" 3D SMILY";https://astrum.co.za/wp-content/uploads/2022/02/NB200-3D-SMILY-S5-new-15.jpg;Astrum;Notebook PC
"NB200 NOTEBOOK STICKER 15.6"" 3D SMILY";AST-A71017-T S6;Computers Laptops & Electronics > Notebook Components > Accessories;"NB200 NOTEBOOK STICKER 15.6"" 3D SMILY";https://astrum.co.za/wp-content/uploads/2022/02/NB200-3D-SMILY-S6-13.jpg;Astrum;Notebook PC
"NB200 NOTEBOOK STICKER 15.6"" 3D SMILY";AST-A71017-T S7;Computers Laptops & Electronics > Notebook Components > Accessories;"NB200 NOTEBOOK STICKER 15.6"" 3D SMILY";https://astrum.co.za/wp-content/uploads/2022/02/NB200-3D-SMILY-S7-12.jpg;Astrum;Notebook PC
"NB200 NOTEBOOK STICKER 15.6"" 3D SMILY";AST-A71017-T S8;Computers Laptops & Electronics > Notebook Components > Accessories;"NB200 NOTEBOOK STICKER 15.6"" 3D SMILY";https://astrum.co.za/wp-content/uploads/2022/02/NB200-3D-SMILY-S8-new-6.jpg;Astrum;Notebook PC
NB120 LOCK DIGITAL COMBINATION METAL WIR;AST-A72512-B;Computers Laptops & Electronics > Notebook Components > Accessories;"Our digital lock combination provides top-notch security for your laptop or suitcase, combining ease of use with advanced protection features. Here's a closer look at its capabilities:

 	User-Friendly Keypad: The lock features a straightforward, easy-to-use keypad that allows you to set and change your personal combination quickly and effortlessly. This eliminates the need for keys and provides a more secure method of access control.
 	Durable Construction: Built from high-quality materials, the lock is designed to withstand physical tampering and everyday wear and tear. Its robust construction ensures reliable performance, even in challenging environments.
 	Compact Design: The lock's sleek and compact design makes it versatile and suitable for various applications, including securing laptops, briefcases, and suitcases. It integrates seamlessly with your belongings without adding bulk.
 	Enhanced Security: The digital combination system offers superior protection compared to traditional key locks. With the ability to set a unique combination, you reduce the risk of unauthorized access and ensure that only those with the correct code can unlock your items.
 	Versatile Compatibility: Ideal for frequent travelers, business professionals, or anyone needing extra security for their belongings, this digital lock can be easily attached to most laptop cases, briefcases, and travel bags.";https://astrum.co.za/wp-content/uploads/2021/11/A72512-B.jpg;Astrum;Notebook PC
Astrum NB210 digital laptop 1.8m security lock (Dell);AST-A72521-B;Computers Laptops & Electronics > Notebook Components > Accessories;"The Notebook Lock NB210 LOCK N17 6.5 x 2.5mm Digital Slim is a robust security solution designed for modern laptops and devices with a smaller form factor. It features a digital combination lock, ensuring the security of your device without the need for physical keys, and fits devices with the N17 security slot.

Key Features:

 	Slim Design: The lock is crafted to fit seamlessly with ultra-slim laptops and other devices, maintaining a low profile that doesn't interfere with your device's functionality or aesthetics.
 	N17 Security Slot Compatibility: Designed to work with the N17 security slot, which is commonly found in many laptops, particularly from Dell and other manufacturers focusing on ultra-slim and lightweight designs.
 	6.5 x 2.5mm Connector: The lock's pin is specifically sized to fit the 6.5 x 2.5mm slot, ensuring a snug and secure connection that deters tampering.
 	Digital Combination Lock: The lock utilizes a 4-digit digital combination, offering up to 10,000 possible combinations for high-level security. The combination can be easily set and reset as needed.
 	Strong Steel Cable: The lock is attached to a durable steel cable, resistant to cutting, pulling, and other forms of physical attacks. The cable is long enough to allow flexible positioning but strong enough to secure your device firmly.
 	Easy to Use: Simple to install and operate, the lock can be quickly attached to your device's N17 slot and secured to a stationary object like a desk or table.
 	Portable: Lightweight and compact, this lock is perfect for professionals who need to secure their devices while traveling or working in public spaces.

Applications: This lock is ideal for securing laptops, particularly those from manufacturers like Dell that utilize the N17 slot, as well as other compatible devices in offices, public spaces, and on-the-go environments.

Specifications:

 	Lock Type: Digital combination lock
 	Connector Size: 6.5 x 2.5mm
 	Cable Length: Approximately 1.8 meters (6 feet)
 	Material: Reinforced steel cable with protective coating
 	Weight: Lightweight for portability

Package Includes:

 	1 x Notebook Lock NB210 LOCK N17 6.5 x 2.5mm Digital Slim
 	1 x User Manual

Warranty: Typically includes a 1-year manufacturer's warranty.";https://astrum.co.za/wp-content/uploads/2024/07/NB210.jpg;Astrum;Notebook PC
NB220 Digital Laptop Security Lock 1.8m (HP);AST-A72522-B;Computers Laptops & Electronics > Notebook Components > Accessories;"The Notebook Lock NANO 8 x 2.5mm Digital Slim is a high-security locking solution designed specifically for ultra-slim laptops, tablets, and other devices with a Nano security slot. Its compact design ensures a tight and secure fit, providing peace of mind in public spaces or when traveling.

Key Features:

 	Slim Profile: The slim design is ideal for modern, ultra-thin devices, ensuring the lock doesn't obstruct ports or interfere with the sleek aesthetics of your device.
 	Nano Security Slot Compatibility: Engineered to fit into the Nano security slot, which is typically found on the latest thin and light laptops and tablets.
 	Durable Cable: The lock is attached to a strong and durable steel cable, resistant to cutting and tampering. The cable is long enough to allow flexible positioning while still securing the device.
 	Digital Combination: The lock features a digital combination mechanism, eliminating the need for physical keys. The combination can be easily set and reset, offering up to 10,000 possible combinations for enhanced security.
 	Easy Installation: Simply attach the lock to your device's Nano security slot and secure the cable to a stationary object like a desk or table.
 	Lightweight & Portable: The lock is lightweight and easy to carry, making it a convenient security solution for professionals on the go.

Applications: Ideal for securing laptops, tablets, or other devices in public places such as cafes, libraries, and co-working spaces. Also perfect for use in office environments to prevent unauthorized removal of devices.

Specifications:

 	Lock Type: Digital combination lock
 	Connector Size: 8 x 2.5mm
 	Cable Length: Approximately 1.8 meters (6 feet)
 	Material: Steel cable with protective coating
 	Weight: Lightweight for portability

Package Includes:

 	1 x Notebook Lock NANO 8 x 2.5mm Digital Slim
 	1 x User Manual";https://astrum.co.za/wp-content/uploads/2024/07/NB220.jpg;Astrum;Notebook PC
"CP100 Adjustable &amp; Expandable Laptop/Tablet Portable Stand.";AST-A83010-B;Computers Laptops & Electronics > Notebook Components > Accessories;"The CP100 Adjustable & Expandable Laptop/Tablet Stand is meticulously designed to elevate your workspace experience, whether you're stationed at a desk, working from home, or on the move. This stand prioritizes both your comfort and productivity by offering a range of customizable angles, ensuring you can find the ideal viewing position to alleviate neck strain, enhance ergonomics, and maintain a healthier posture throughout the day.

Constructed from a blend of high-quality, lightweight, and durable materials, the CP100 stand offers remarkable stability while remaining exceptionally portable. Its innovative foldable design allows it to be effortlessly tucked into your bag or backpack, making it the perfect accessory for traveling professionals, students, and digital nomads alike. The stand's expandable feature is engineered for versatility, accommodating a wide array of devices, from small tablets to large laptops, ensuring compatibility with various screen sizes and weights.

In addition to its ergonomic benefits, the CP100 stand is designed with ventilation in mind. It promotes optimal airflow around your device, helping to prevent overheating during prolonged use, whether you're engaged in intensive tasks like typing, video editing, or delivering presentations. The stand's stable, non-slip surface provides a secure base, giving you peace of mind that your device will remain firmly in place.

The CP100 stand boasts a sleek, modern aesthetic that complements any workspace. Its minimalist design doesn't just serve a functional purpose-it adds a touch of elegance to your setup. Perfectly balancing style and practicality, the CP100 stand is an essential tool for anyone looking to enhance their digital workflow.";https://astrum.co.za/wp-content/uploads/2024/07/CP100-1.jpg;Astrum;Cooling and Mousepad
CP160 Slim Laptop Cooling Pad;AST-A83016-B;Computers Laptops & Electronics > Notebook Components > Accessories;"The extra-large fan is highly efficient for cooling, ensuring optimal temperature regulation and improved performance for your electronic devices, even during intense usage.

The ultra-quiet fan ensures a noise-free environment, allowing you to work or play without distractions while still maintaining optimal cooling for your device.

The LED light adds a modern and stylish look to any space, creating an ambiance that is both contemporary and inviting.

The metal mesh construction provides stable support for laptops up to 15.6 inches, ensuring a reliable and sturdy surface for comfortable usage and efficient cooling.

Features:
Extra large fan efficient for cooling
Ultra quiet fan for noise free enviroment
LED light for a modern and stylish look
Metal mesh supports laptops upto 15.6 inches with stable surface

 Technical Specifications:
Port: USB ports
Rated voltage: DC 5V
Support: 15.6 inch notebooks
Fan speed: 1100 10% RPM
Fan size: 120mm
Dimensions: 320 x 245 x 24mm (L x W x H)
Weight: 298g (approx.)";https://astrum.co.za/wp-content/uploads/2021/11/A83016-B.jpg;Astrum;Cooling and Mousepad
CP170 Dual Fan Laptop Cooling Pad;AST-A83017-B;Computers Laptops & Electronics > Notebook Components > Accessories;"Experience enhanced comfort and superior cooling performance with the Ultimate Laptop Cooler, meticulously crafted for laptops up to 17 inches in size. This advanced cooling solution integrates dual 120mm ultra-silent fans, ensuring optimal heat dissipation while maintaining a noise-free environment conducive to focused work or immersive gaming sessions.

The dual 120mm fans are designed to deliver powerful airflow, effectively reducing temperatures during intensive use without compromising on quiet operation. Strategically positioned vents and enhanced airflow mechanics further enhance heat dissipation, preventing overheating and sustaining peak performance for extended periods.

Designed with ergonomic principles in mind, the cooler features a tilt design that elevates your laptop to a comfortable typing angle. This not only promotes better posture but also improves airflow underneath the laptop, enhancing overall cooling efficiency.

Adding a touch of style to functionality, the cooler includes a captivating blue LED light display. The subtle illumination not only enhances the aesthetic appeal of your workspace but also adds a modern flair, making it a visually pleasing addition to your setup.

Compatible with a wide range of laptops up to 17 inches, the cooler offers versatility across various models and brands. Its plug-and-play design ensures effortless setup - simply connect it to your laptop's USB port for power, eliminating the need for additional adapters or drivers.

Crafted from durable materials, the cooler ensures stability and reliability, providing sturdy support for your laptop while remaining robust enough to withstand daily use and travel.

In summary, the Ultimate Laptop Cooler combines exceptional cooling performance, ergonomic design for enhanced comfort, and stylish LED lighting to elevate your laptop experience. Whether you're working on intensive projects or indulging in gaming sessions, this cooler ensures your laptop stays cool and performs at its best, enhancing productivity and enjoyment wherever you use it.







Features:
Dual noise-free 120mm fans
High-tech design featuring 2 LED backlights
Adjustable cooling pad supporting laptops up to 17""
Extra USB port for mobile charging

 Technical Specifications:
Port: 2 USB ports
Rated voltage: DC 5V
Support: 17-inch notebooks
Fan speed: 1100 10% RPM
Fan size: 120mm
Dimensions: 355 x 257 x 24mm (L x W x H)
Weight: 540g (approx.)";https://astrum.co.za/wp-content/uploads/2021/11/A83017-B.jpg;Astrum;Cooling and Mousepad
Quad Fan USB Laptop Cooling Pad - CP200;AST-A83020-B;Computers Laptops & Electronics > Notebook Components > Accessories;"Keep your laptops safe with Astrum CP200 - a powerful, noise free, USB-powered, laptop cooler that can support upto 17'' laptops for gaming and office use.
 	With 4 heavy windforce high speed cooler fans and a noise-free heat dissipation design, it gives the optimum flow of air for longer hours of error-free usage.
 	For added comfort and elegance, it is equipped with a LED-light display as well an ergonomic design with adjustable height setting to accomodate each level of sight for people working at multiple workstations.
 	Besides preventing over heating of the laptops with silent fan and two additional USB ports, it gives an eye level monitoring for you to work conveniently.
 	With an ultra-fit design for maximum efficiency, it is easy to carry around yet highly effective at doing what it's supposed to do.

Features:
4-core deep heavy windforce high speed cooler fans
Designed with powerful cooling effects for laptop gamers
Ergonomic design with adjustable levels for people of varied heights
Supporting upto 17"" laptops
Silent heat dissipation design
USB powered with LED light display

 Technical Specifications:
Port: 2 USB ports
Rated voltage: DC 5V
Support: upto 17 inch notebooks
Dimensions: 390 x 280 x 28mm (L x W x H)
Weight: 720g (approx.)";https://astrum.co.za/wp-content/uploads/2021/11/CP200-01-1.jpg;Astrum;Cooling and Mousepad
